k,E_ux,E_uy,E_uz
176.0,0.1452062865872433,0.14620732618064472,0.14507114991312692
177.0,0.14395819297671875,0.14484714325329429,0.1439819579101947
178.0,0.14256724239989954,0.14391793786880605,0.14332079121874997
179.0,0.14094367694727095,0.1422046775638521,0.14144876099481765
180.0,0.14015298333285628,0.14032431033263926,0.13974534487590948
181.0,0.14012802737042393,0.14053097509937917,0.1395689254602435
182.0,0.13737965595839416,0.13783276312606904,0.13740815768658032
183.0,0.13739022866320796,0.1371989583129569,0.13719393224653548
184.0,0.135365892031755,0.13617893764199177,0.1356897516364819
185.0,0.13490639983749128,0.13572770019000763,0.13565983806349785
186.0,0.13311312414690357,0.13460682974211738,0.13376729559772613
187.0,0.1321422712233891,0.13297411837533513,0.1327575437841934
188.0,0.13154568486786059,0.13279362038346598,0.13191061584681513
189.0,0.13084929328953554,0.131397476199328,0.13174675997736804
190.0,0.1288493786635249,0.12953909325522284,0.12965106920890768
191.0,0.12824706417866988,0.13007263119168455,0.12909945384499624
192.0,0.1273101399312665,0.1282140129006729,0.128623493401406
193.0,0.12664206639039693,0.127531204459669,0.12741261658560074
194.0,0.1264260203793582,0.127524228506443,0.12744121240635414
195.0,0.12469510678461082,0.12613685202579436,0.12595480398856132
196.0,0.12462702581115803,0.12622191370600847,0.12515430301421762
197.0,0.12323283623816446,0.12438673808245979,0.12462409382936837
198.0,0.1230260606242511,0.12418886434586976,0.12393545333752244
199.0,0.12149164139239764,0.12290278341829025,0.12271183883415313
200.0,0.12093085288430423,0.12185106963698748,0.12176065238244291
201.0,0.12060095718153377,0.12219996439715802,0.12155217595861197
202.0,0.12002878260257824,0.12142703988929998,0.12180486710110434
203.0,0.11874933101265323,0.12028639961203086,0.1197406951517373
204.0,0.11854461016350536,0.11980959395268988,0.1197252936951232
205.0,0.1188082894881343,0.11978053698428803,0.11986446253110465
206.0,0.11623952006847246,0.11785679372773747,0.11770484898981415
207.0,0.11685273860013025,0.11783142585874577,0.11805501712692891
208.0,0.11626018978046068,0.11712864719222028,0.11747459910343999
209.0,0.11579193678911458,0.11700514715207924,0.11753766972597256
210.0,0.11511200709859125,0.11621995157762903,0.11639449153713687
211.0,0.11384818263409364,0.1154321041872614,0.11585057910250235
212.0,0.11386130738237801,0.11498248538456232,0.11577860753423448
213.0,0.11347314851530357,0.11525541051187764,0.11535686084389647
214.0,0.1129301752124307,0.11483723133016614,0.11459642956750903
215.0,0.11243314212109913,0.11383803147942059,0.11372941377012484
216.0,0.11245536450221724,0.11346876588974689,0.11403762456860456
217.0,0.11222645745783498,0.11395455640014325,0.11424145551957691
218.0,0.11066930586593046,0.11249389506007813,0.11307864100553539
219.0,0.11048775380750901,0.11262233300773279,0.11293488733816377
220.0,0.11046363349993697,0.11206355133098962,0.11273681451650479
221.0,0.11069360751921009,0.11212842208660305,0.11298877944750627
222.0,0.10959391988311089,0.11164070720221844,0.11192094205280817
223.0,0.1096588127929983,0.11152502728704115,0.11200298842507544
224.0,0.10893537093843175,0.11066708275750306,0.11128015636196928
225.0,0.10963704916414521,0.11161220744392479,0.11212021505215979
226.0,0.10892719006145427,0.11105325671272044,0.11141857140138346
227.0,0.10821075264543235,0.1103385966222642,0.11050446456914646
228.0,0.10847842147123002,0.10990042455302138,0.11082882359675802
