k,Es1,Es2,Es3
216.0,4.840079638071122e-05,4.87764570709262e-05,4.845011223327501e-05
217.0,4.7848638090256204e-05,4.816897678942913e-05,4.800203816034947e-05
218.0,4.64731632351187e-05,4.697678358537118e-05,4.6690898243827106e-05
219.0,4.587007295263402e-05,4.629099408038962e-05,4.592013538562165e-05
220.0,4.501852859937237e-05,4.550859662679765e-05,4.516275034620737e-05
221.0,4.448181791150663e-05,4.48866665086329e-05,4.461183668577752e-05
222.0,4.349474725161921e-05,4.375452219523036e-05,4.345241934847813e-05
223.0,4.277468420723405e-05,4.316626859999576e-05,4.313293974638097e-05
224.0,4.18197108825319e-05,4.229063474845698e-05,4.208571941452474e-05
225.0,4.1467856926118295e-05,4.186645162605435e-05,4.159529370837486e-05
226.0,4.077067020334965e-05,4.096876576203549e-05,4.0834052679483865e-05
227.0,3.966915163885755e-05,4.0156230138516655e-05,3.985803391075549e-05
228.0,3.9156987451555184e-05,3.944114697317248e-05,3.921983332278883e-05
229.0,3.8635611329064795e-05,3.8923138050177436e-05,3.868173554537593e-05
230.0,3.7754502841466956e-05,3.808081596801867e-05,3.796449290242743e-05
231.0,3.702010041433426e-05,3.724430605628357e-05,3.707795411139812e-05
232.0,3.6703479219835795e-05,3.706149747082495e-05,3.678499632071715e-05
233.0,3.598981071104791e-05,3.633369353517241e-05,3.602370069585405e-05
234.0,3.546432027668465e-05,3.587618947101245e-05,3.556974267381707e-05
235.0,3.452694663033775e-05,3.4857339889277105e-05,3.458131330612123e-05
236.0,3.422825206366209e-05,3.4567601551574615e-05,3.430952603698086e-05
237.0,3.354649907931565e-05,3.389616732304719e-05,3.362379204112188e-05
238.0,3.29368596330436e-05,3.321915831225727e-05,3.3029045699702e-05
239.0,3.259579090998553e-05,3.289702845373121e-05,3.259373156842478e-05
240.0,3.19055260124784e-05,3.2150021165125535e-05,3.1966416470826235e-05
241.0,3.1484378900913736e-05,3.180558822091185e-05,3.162240214048829e-05
242.0,3.099769609840582e-05,3.124050041751026e-05,3.099642551545344e-05
243.0,3.036636640594642e-05,3.059768097886375e-05,3.0509177073224517e-05
244.0,3.004498875100111e-05,3.0217098434857717e-05,3.0061440712333068e-05
245.0,2.9504280964662452e-05,2.968924913377499e-05,2.9558463955523706e-05
246.0,2.9007746933891747e-05,2.9234688540414315e-05,2.9086384758745114e-05
247.0,2.8449853122247235e-05,2.8658127678192054e-05,2.8576191668597584e-05
248.0,2.813486459321288e-05,2.8421478360715925e-05,2.821577548599353e-05
249.0,2.7633307994694864e-05,2.7850273094077005e-05,2.7732868082368946e-05
250.0,2.714188061466045e-05,2.738783757477965e-05,2.719066386404816e-05
251.0,2.681018926488317e-05,2.7001629904571264e-05,2.6815664046114913e-05
252.0,2.6403506608495918e-05,2.6711264191987618e-05,2.651797865261672e-05
253.0,2.596269515154733e-05,2.616560654505952e-05,2.609208711283988e-05
254.0,2.5460986459696663e-05,2.5673758758830007e-05,2.551126891760153e-05
255.0,2.4996554573201613e-05,2.523798924922833e-05,2.509636401320837e-05
256.0,2.494344722932267e-05,2.517712690132035e-05,2.486429874212169e-05
257.0,2.43418400986749e-05,2.4576227408419884e-05,2.43420422085115e-05
258.0,2.405758014467128e-05,2.4167307591510718e-05,2.4133781212328643e-05
259.0,2.365940506094168e-05,2.3825433147181733e-05,2.3691091926176568e-05
260.0,2.3306623410743265e-05,2.3446794857805984e-05,2.335343733774738e-05
261.0,2.2979347668113653e-05,2.321346350328021e-05,2.305941788186115e-05
262.0,2.2598790390393827e-05,2.2731064022909607e-05,2.2615080999358922e-05
263.0,2.2241358720812487e-05,2.236365414065771e-05,2.22604995242292e-05
264.0,2.1848906807319025e-05,2.210470131956816e-05,2.193978001886263e-05
265.0,2.1633969002916014e-05,2.188313098563324e-05,2.1772609804904202e-05
266.0,2.1239795011646485e-05,2.1429963783569768e-05,2.1254770193018283e-05
267.0,2.0952638392253342e-05,2.108090360334739e-05,2.1029703192218628e-05
268.0,2.0685406643713564e-05,2.07562453689612e-05,2.0728306665563988e-05
269.0,2.0463312063903873e-05,2.0529461259706736e-05,2.0412278398736417e-05
270.0,1.999909792292348e-05,2.0173267040762185e-05,2.0157004857904627e-05
271.0,1.971779111881291e-05,1.984770135851293e-05,1.9721841958271033e-05
272.0,1.9508463896913176e-05,1.9650501678858706e-05,1.9531187580856253e-05
273.0,1.9214594316644966e-05,1.938401396406106e-05,1.9243637287693837e-05
274.0,1.8984342978668293e-05,1.906999383100149e-05,1.893132133402134e-05
275.0,1.85809172635032e-05,1.8745984942509233e-05,1.8621875276579758e-05
276.0,1.8437278570477747e-05,1.853087938943047e-05,1.845289097146784e-05
277.0,1.8147783620995974e-05,1.8352949881912093e-05,1.8221906871412154e-05
278.0,1.7858856748984715e-05,1.7958073482132515e-05,1.786410351047163e-05
279.0,1.7530624369459353e-05,1.767093700430355e-05,1.7580406320272595e-05
280.0,1.74392051968184e-05,1.7567894667082e-05,1.7438349021205036e-05
281.0,1.708436754896327e-05,1.728952102975294e-05,1.7152970765246825e-05
282.0,1.6911229917191457e-05,1.7028239848287583e-05,1.6952772612549357e-05
283.0,1.6639956985660077e-05,1.6727052918359447e-05,1.6701644739136847e-05
284.0,1.6426812746442092e-05,1.654314656779955e-05,1.6476536223110625e-05
285.0,1.6214263463558994e-05,1.634007526283039e-05,1.6195801171540832e-05
286.0,1.5912979480156192e-05,1.6025936659803436e-05,1.5902307189498554e-05
287.0,1.5763885766426174e-05,1.5851996017483938e-05,1.5762886214251664e-05
288.0,1.5524070805331984e-05,1.5589796343654626e-05,1.5540635009230366e-05
289.0,1.5379754607984934e-05,1.5454415322850897e-05,1.5373140887734462e-05
290.0,1.5138388375367009e-05,1.5254565736222354e-05,1.5161111769973134e-05
291.0,1.4880684366451018e-05,1.4967026516322245e-05,1.4911119617031586e-05
292.0,1.4738947087732158e-05,1.4825360475247655e-05,1.4758647269772518e-05
293.0,1.4520708404114484e-05,1.4651808436441808e-05,1.4544510713331021e-05
294.0,1.4333991661165318e-05,1.4427413698993834e-05,1.4359603115755459e-05
295.0,1.4145520327904279e-05,1.4148249209906477e-05,1.4136936541881732e-05
296.0,1.3938327232519362e-05,1.4036909874674523e-05,1.396147078409812e-05
297.0,1.3742145513714217e-05,1.3866450825736111e-05,1.3786605643379157e-05
298.0,1.3552938460543891e-05,1.3662091028815642e-05,1.3588238284505337e-05
299.0,1.3389231514252891e-05,1.3505195288585078e-05,1.3383868377137566e-05
300.0,1.3167953259052455e-05,1.325245235676074e-05,1.3163972740941864e-05
