k,Ek
265.0,2605.488915824512
266.0,2577.6675167220856
267.0,2575.141277233019
268.0,2557.404271435
269.0,2556.970145082126
270.0,2536.4234765802003
271.0,2518.6605357839176
272.0,2516.590106538029
273.0,2503.7055671398457
274.0,2501.052581782673
275.0,2482.8474964606453
276.0,2472.4734700874687
277.0,2476.013135706209
278.0,2443.122224050467
279.0,2436.2908675692597
280.0,2443.4985377997955
281.0,2416.40876726203
282.0,2410.9349559919715
283.0,2396.6290716137732
284.0,2384.0323103021333
285.0,2375.5794947368922
286.0,2351.190417166817
287.0,2357.607363391287
288.0,2332.439313413635
289.0,2331.418587676407
290.0,2317.766521629256
291.0,2303.892386808703
292.0,2292.3494144590554
293.0,2270.0177156352206
294.0,2269.1966675217054
295.0,2241.7258265984187
296.0,2238.9365307754147
297.0,2227.4415273628288
298.0,2204.7251347595507
299.0,2199.024036733845
300.0,2173.606038485597
301.0,2176.6958672749083
302.0,2143.8667460236675
303.0,2148.0699876692674
304.0,2123.510834554306
305.0,2113.408098999254
306.0,2104.5604097267915
307.0,2083.3292921415946
308.0,2069.4702868825498
309.0,2051.2753508215596
310.0,2034.3879437862304
311.0,2022.7049163199374
312.0,1994.65193772137
313.0,1980.646526874646
314.0,1964.7415449064385
315.0,1943.2191754834082
316.0,1927.0626513467773
317.0,1891.1182066520958
318.0,1904.0251333118165
319.0,1858.997351601677
320.0,1854.1640406479294
321.0,1846.7485300489548
322.0,1816.4645985624538
323.0,1803.0175017711313
324.0,1774.0663110041235
325.0,1763.9622192521435
326.0,1742.5918200124281
327.0,1720.0722178715403
328.0,1702.8824516304637
329.0,1681.1187420409685
330.0,1657.9193006279147
331.0,1627.853742935804
332.0,1613.6472068915482
333.0,1588.4330540178028
334.0,1559.4391022622408
335.0,1541.2228958495255
336.0,1515.6169875304174
337.0,1487.9606395960814
338.0,1470.5768098087078
339.0,1438.4341167292068
340.0,1421.7397919790321
341.0,1389.8336365126672
342.0,1373.8119327087545
343.0,1336.2694620995053
344.0,1313.2143601544747
345.0,1293.9620703586502
346.0,1258.7427612829165
347.0,1240.502007546229
348.0,1206.762255189136
349.0,1189.6160397117628
350.0,1153.026857593777
351.0,1119.1967303162407
352.0,1105.3885449720037
353.0,1063.483032382554
354.0,1045.8468283199609
355.0,1012.7646346307805
356.0,976.4318851304814
357.0,947.7642058868892
358.0,909.3268210841879
359.0,888.9079545292115
360.0,844.2872142885142
361.0,820.0275454144336
362.0,783.7435191903228
363.0,758.0985202073427
364.0,727.4500086701368
365.0,703.0885023540944
366.0,678.4926528677806
367.0,663.0083156765622
368.0,633.0824668920911
369.0,618.7252966392197
370.0,599.5955039201616
371.0,579.5937969087727
372.0,560.9189299737262
373.0,540.3509148324855
374.0,526.5633833165281
375.0,508.60800171042104
376.0,483.9322521122371
377.0,478.02576397295013
378.0,454.82519773895456
379.0,438.3185652989005
380.0,427.4742699810232
381.0,406.7635903664696
382.0,398.4360953763563
383.0,377.7506152894872
384.0,361.78323752334524
385.0,358.61213228629
386.0,339.2144876660706
387.0,331.37570469595295
388.0,312.9307420685107
389.0,303.5773514633065
390.0,296.585037275837
391.0,275.74316201999216
392.0,271.89823393306597
393.0,261.18179023186184
394.0,248.69366986001563
395.0,238.09143630927284
396.0,232.5513690991653
397.0,223.46000131731824
398.0,208.62583740096795
399.0,199.3162473135496
400.0,196.36893133649224
401.0,180.02167365119422
402.0,170.69893701807072
403.0,165.47048879851803
404.0,155.19104009232404
405.0,149.67075965666547
406.0,136.10858414981377
407.0,134.11410190513436
408.0,127.27953757200598
409.0,116.79531752108213
410.0,108.61606567153497
