k,E_Jx,E_Jy,E_Jz
258.0,8.558900294311457e-64,1.4700373859087392e-63,1.4995438966785558e-63
259.0,8.541830103485776e-64,1.4566072148496244e-63,1.5033353983200566e-63
260.0,8.541677024234631e-64,1.452687123519179e-63,1.4947165752920142e-63
261.0,8.612230963877331e-64,1.4409676558440856e-63,1.4896016705638772e-63
262.0,8.52594482298418e-64,1.4353862506563024e-63,1.485944833124848e-63
263.0,8.572113014099845e-64,1.4331553516134336e-63,1.4678817285931966e-63
264.0,8.516911317850517e-64,1.4159940079023636e-63,1.4667710033899362e-63
265.0,8.540984418940595e-64,1.4240950846620417e-63,1.47192918960609e-63
266.0,8.465345779405908e-64,1.3863391654488062e-63,1.41742409883572e-63
267.0,8.450039616212116e-64,1.3875076169973362e-63,1.4359515829219335e-63
268.0,8.447447368616169e-64,1.3762469723181544e-63,1.419604618952501e-63
269.0,8.425969238304547e-64,1.35602455865672e-63,1.4196523002627476e-63
270.0,8.373230269408115e-64,1.349101093410472e-63,1.3850718521606484e-63
271.0,8.30352618049801e-64,1.315090123503929e-63,1.3640251061701898e-63
272.0,8.29821981330315e-64,1.3299225091511906e-63,1.3684559892573035e-63
273.0,8.280141263793795e-64,1.3155133606732786e-63,1.342976992926804e-63
274.0,8.243752636936813e-64,1.29119360601273e-63,1.3330065389028004e-63
275.0,8.167939957629429e-64,1.2751056477550678e-63,1.313204418862063e-63
276.0,8.1216823364038e-64,1.2591757731853594e-63,1.307283745945776e-63
277.0,8.1203130893627e-64,1.2608715926133747e-63,1.3020360650494763e-63
278.0,7.998656456402072e-64,1.2182849967537384e-63,1.260956741846815e-63
279.0,7.960390351239909e-64,1.204752160130643e-63,1.248769145654408e-63
280.0,7.969480397963644e-64,1.2103307494084376e-63,1.2567820589019208e-63
281.0,7.850595702711172e-64,1.168222174333837e-63,1.2151592182977298e-63
282.0,7.799382289562634e-64,1.1718229936170935e-63,1.2070902589169576e-63
283.0,7.724575179372685e-64,1.1327593678785224e-63,1.170505488788358e-63
284.0,7.679374380191709e-64,1.1311362593209364e-63,1.1864991851473595e-63
285.0,7.594205434060454e-64,1.117311566400078e-63,1.1566681255246215e-63
286.0,7.482762017316731e-64,1.0767533564261965e-63,1.1280735852727103e-63
287.0,7.407751340087607e-64,1.0760792539814204e-63,1.09997336976239e-63
288.0,7.36905981470583e-64,1.0388761657284371e-63,1.0810604562392622e-63
289.0,7.289783685450762e-64,1.0379095144812019e-63,1.0834998972921122e-63
290.0,7.180212984156233e-64,1.011592971012341e-63,1.0660042202429277e-63
291.0,7.125264878822814e-64,1.002373144977591e-63,1.039570672777715e-63
292.0,7.029430657733757e-64,9.797909102128665e-64,1.0238582312166487e-63
293.0,6.920524972522965e-64,9.501900503873683e-64,9.949196636864072e-64
294.0,6.821046257537997e-64,9.463588894948014e-64,9.846280992731224e-64
295.0,6.742610475401257e-64,9.270069839494805e-64,9.614425106669807e-64
296.0,6.664387892845547e-64,9.081371602905068e-64,9.44406666686921e-64
297.0,6.584011610033124e-64,8.895018974744978e-64,9.329681205247436e-64
298.0,6.477829754769099e-64,8.732740775396218e-64,9.109373597591234e-64
299.0,6.435345028371832e-64,8.646103717515221e-64,8.94059055943823e-64
300.0,6.307794965858898e-64,8.297486395995477e-64,8.681434360542949e-64
301.0,6.283426147867529e-64,8.346571101117203e-64,8.638074007158515e-64
302.0,6.100857273991768e-64,8.05746571807233e-64,8.346738149578676e-64
303.0,6.086389538178843e-64,7.990101005130776e-64,8.2955518919396e-64
304.0,5.932767707365486e-64,7.714192255409244e-64,8.00267052008025e-64
305.0,5.891076407484401e-64,7.600585325709165e-64,7.877205584988723e-64
306.0,5.789663263948574e-64,7.457121896128253e-64,7.659864580901402e-64
307.0,5.681716581622901e-64,7.22300667752058e-64,7.431189243946996e-64
308.0,5.620415910686948e-64,7.144871766951176e-64,7.335839868096077e-64
309.0,5.516261697102935e-64,6.963873647355385e-64,7.153561680904075e-64
310.0,5.42276474269232e-64,6.793451818715022e-64,7.002239303142243e-64
311.0,5.3123841338503344e-64,6.677414600422504e-64,6.802695398856241e-64
312.0,5.237023527538827e-64,6.493666042874193e-64,6.663919604046729e-64
313.0,5.113735712211673e-64,6.366172422971873e-64,6.504412146742287e-64
314.0,5.0675409343841095e-64,6.197482246508076e-64,6.406369338149575e-64
315.0,4.9697506985411594e-64,6.068464428041845e-64,6.203375525799935e-64
316.0,4.869346633753762e-64,5.869290998357353e-64,6.022534815989874e-64
317.0,4.7355873686620456e-64,5.68880593929038e-64,5.859017387051823e-64
318.0,4.7152551671638014e-64,5.679078077358201e-64,5.8328651685386194e-64
319.0,4.580928831634034e-64,5.4364839258484725e-64,5.6001382908198464e-64
320.0,4.487054208603585e-64,5.326227625590897e-64,5.472634331325674e-64
321.0,4.428419069983496e-64,5.2272439163740115e-64,5.358840586516461e-64
322.0,4.29577032183487e-64,5.059148383950032e-64,5.2016407244431305e-64
323.0,4.2268421928367475e-64,4.9576391628463717e-64,5.07237032910103e-64
324.0,4.1210724218671724e-64,4.785415925528771e-64,4.8999292243119646e-64
325.0,4.045857495569714e-64,4.6941080822679905e-64,4.832007114240133e-64
326.0,3.959681982849259e-64,4.553615343692479e-64,4.664795040145324e-64
327.0,3.852950251213876e-64,4.436810677393422e-64,4.495260627377434e-64
328.0,3.763803276047734e-64,4.316996499881532e-64,4.416468084687212e-64
329.0,3.701401250212114e-64,4.205732998503509e-64,4.289128904364203e-64
330.0,3.613928788436934e-64,4.104595179404858e-64,4.215990923167121e-64
331.0,3.511704444786857e-64,3.9790150777690526e-64,4.0432698230264356e-64
332.0,3.449268553942347e-64,3.879058259414369e-64,3.969296197767219e-64
333.0,3.389285098838624e-64,3.78742474521914e-64,3.8468386215666584e-64
334.0,3.277294848897816e-64,3.6493006923972894e-64,3.714042793086836e-64
335.0,3.201886544585495e-64,3.582694348530114e-64,3.627345012390942e-64
336.0,3.133645846891134e-64,3.4843584558041366e-64,3.538019676677728e-64
337.0,3.059599082854658e-64,3.397554639684245e-64,3.447204106118909e-64
338.0,2.9747252400325516e-64,3.293479260542528e-64,3.331041358956826e-64
339.0,2.8893985319542627e-64,3.193176121316988e-64,3.212991229612763e-64
340.0,2.8332520262541928e-64,3.110866141685326e-64,3.147762687567262e-64
341.0,2.76038318292303e-64,3.0273984292342335e-64,3.069139816302866e-64
342.0,2.690454620655508e-64,2.9684404286339363e-64,2.9868746169909546e-64
343.0,2.5906075769640843e-64,2.8376483214521708e-64,2.8704214604919605e-64
